VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
2;2020-05-01 05:21:58;2020-05-01 05:34:03;N;1.0;74;244;1.0;3.15;12.0;0.5;0.5;0.0;0.0;;0.3;13.3;2.0;1.0;0.0
2;2020-05-01 05:26:00;2020-05-01 05:58:00;;;35;137;;9.07;35.84;0.0;0.0;2.75;0.0;;0.3;38.89;;;
2;2020-05-01 05:32:51;2020-05-01 05:36:51;N;1.0;152;152;1.0;0.51;5.0;0.5;0.5;0.0;0.0;;0.3;6.3;2.0;1.0;0.0
2;2020-05-01 05:34:00;2020-05-01 05:44:00;;;35;76;;1.97;10.66;0.0;0.0;2.75;0.0;;0.3;13.71;;;
2;2020-05-01 05:36:00;2020-05-01 05:52:00;;;51;42;;10.29;29.08;0.0;0.0;8.32;12.24;;0.3;49.94;;;
2;2020-05-01 05:37:31;2020-05-01 05:46:33;N;1.0;116;238;1.0;3.14;11.0;0.5;0.5;0.0;0.0;;0.3;15.05;2.0;1.0;2.75
2;2020-05-01 05:41:12;2020-05-01 05:49:59;N;1.0;75;137;1.0;4.86;15.0;0.5;0.5;0.0;0.0;;0.3;19.05;1.0;1.0;2.75
2;2020-05-01 05:42:00;2020-05-01 05:50:00;;;61;71;;2.29;9.34;0.0;0.0;0.0;0.0;;0.3;9.64;;;
2;2020-05-01 05:43:00;2020-05-01 06:02:00;;;183;137;;13.97;43.03;0.0;0.0;2.75;6.12;;0.3;52.2;;;
2;2020-05-01 05:48:00;2020-05-01 06:04:00;;;7;137;;5.52;26.67;0.0;0.0;0.0;0.0;;0.3;29.72;;;
2;2020-05-01 05:51:00;2020-05-01 06:01:00;;;243;42;;3.15;10.96;0.0;0.0;0.0;0.0;;0.3;11.26;;;
