VendorID;tpep_pickup_datetime;tpep_dropoff_datetime;passenger_count;trip_distance;RatecodeID;store_and_fwd_flag;PULocationID;DOLocationID;payment_type;fare_amount;extra;mta_tax;tip_amount;tolls_amount;improvement_surcharge;total_amount;congestion_surcharge;airport_fee
1;2020-05-01 05:01:28;2020-05-01 05:13:52;1.0;0.0;1.0;N;112;140;1;21.2;0.0;0.5;0.0;0.0;0.3;22.0;0.0;
1;2020-05-01 05:02:58;2020-05-01 05:14:05;1.0;4.5;1.0;N;74;137;1;13.5;3.0;0.5;2.7;0.0;0.3;20.0;2.5;
2;2020-05-01 05:04:41;2020-05-01 05:11:31;1.0;1.14;1.0;N;186;186;1;6.5;0.5;0.5;2.58;0.0;0.3;12.88;2.5;
2;2020-05-01 05:04:42;2020-05-01 05:07:43;2.0;0.79;1.0;N;48;68;2;4.5;0.5;0.5;0.0;0.0;0.3;8.3;2.5;
2;2020-05-01 05:05:32;2020-05-01 05:15:04;1.0;1.34;1.0;N;238;151;2;8.5;0.5;0.5;0.0;0.0;0.3;9.8;0.0;
2;2020-05-01 05:06:56;2020-05-01 05:11:43;1.0;1.0;1.0;N;100;162;2;6.0;0.5;0.5;0.0;0.0;0.3;9.8;2.5;
1;2020-05-01 05:08:00;2020-05-01 05:11:01;1.0;0.0;1.0;N;69;47;1;12.2;0.0;0.5;0.0;0.0;0.3;13.0;0.0;
1;2020-05-01 05:09:24;2020-05-01 05:17:35;1.0;1.6;1.0;N;141;143;1;8.0;3.5;0.5;1.35;0.0;0.3;13.65;2.5;
1;2020-05-01 05:12:42;2020-05-01 05:26:21;0.0;2.9;1.0;N;229;229;1;12.0;3.0;0.5;0.0;0.0;0.3;15.8;2.5;
2;2020-05-01 05:14:47;2020-05-01 05:27:20;2.0;3.89;1.0;N;74;142;1;13.5;0.5;0.5;3.46;0.0;0.3;20.76;2.5;
1;2020-05-01 05:15:25;2020-05-01 05:48:37;1.0;0.0;1.0;N;246;51;1;43.2;0.0;0.5;0.0;0.0;0.3;44.0;0.0;
2;2020-05-01 05:15:35;2020-05-01 05:20:29;1.0;1.03;1.0;N;42;41;1;6.0;0.5;0.5;0.0;0.0;0.3;7.3;0.0;
2;2020-05-01 05:15:51;2020-05-01 05:21:03;1.0;1.26;1.0;N;75;41;2;6.5;0.5;0.5;0.0;0.0;0.3;7.8;0.0;
2;2020-05-01 05:16:40;2020-05-01 05:27:22;1.0;2.15;1.0;N;151;42;2;9.5;0.5;0.5;0.0;0.0;0.3;10.8;0.0;
2;2020-05-01 05:19:22;2020-05-01 05:54:11;1.0;26.13;1.0;N;76;137;1;69.0;0.5;0.5;0.0;0.0;0.3;72.8;2.5;
1;2020-05-01 05:20:06;2020-05-01 05:22:21;2.0;0.6;1.0;N;236;262;2;4.0;3.0;0.5;0.0;0.0;0.3;7.8;2.5;
2;2020-05-01 05:20:59;2020-05-01 05:33:05;1.0;3.01;1.0;N;239;116;2;12.0;0.5;0.5;0.0;0.0;0.3;15.8;2.5;
2;2020-05-01 05:22:20;2020-05-01 05:32:32;1.0;3.41;1.0;N;41;143;1;12.0;0.5;0.5;3.16;0.0;0.3;18.96;2.5;
1;2020-05-01 05:24:50;2020-05-01 05:36:39;2.0;4.3;1.0;N;75;126;1;14.0;0.5;0.5;5.0;0.0;0.3;20.3;0.0;
2;2020-05-01 05:25:02;2020-05-01 05:28:02;1.0;0.92;1.0;N;48;186;1;5.0;0.5;0.5;1.2;0.0;0.3;10.0;2.5;
1;2020-05-01 05:26:28;2020-05-01 05:34:30;2.0;1.8;1.0;N;230;137;2;8.0;3.0;0.5;0.0;0.0;0.3;11.8;2.5;
1;2020-05-01 05:27:55;2020-05-01 05:32:05;1.0;2.8;1.0;N;262;233;1;9.5;3.0;0.5;2.65;0.0;0.3;15.95;2.5;
1;2020-05-01 05:29:49;2020-05-01 05:42:15;1.0;3.5;1.0;N;48;236;1;12.5;3.0;0.5;3.25;0.0;0.3;19.55;2.5;
2;2020-05-01 05:30:16;2020-05-01 05:35:02;1.0;1.3;1.0;N;186;107;1;6.0;0.5;0.5;1.96;0.0;0.3;11.76;2.5;
2;2020-05-01 05:30:22;2020-05-01 05:30:54;2.0;0.0;1.0;N;186;186;2;2.5;0.5;0.5;0.0;0.0;0.3;6.3;2.5;
1;2020-05-01 05:31:19;2020-05-01 05:35:26;1.0;1.3;1.0;N;75;238;2;6.0;0.5;0.5;0.0;0.0;0.3;7.3;0.0;
1;2020-05-01 05:32:14;2020-05-01 05:35:36;1.0;1.2;1.0;N;264;264;1;5.5;0.5;0.5;1.35;0.0;0.3;8.15;0.0;
1;2020-05-01 05:32:25;2020-05-01 05:40:45;1.0;2.7;1.0;N;262;161;1;10.0;3.0;0.5;2.75;0.0;0.3;16.55;2.5;
1;2020-05-01 05:32:28;2020-05-01 05:33:13;1.0;0.1;1.0;N;68;68;3;2.5;3.0;0.5;0.0;0.0;0.3;6.3;2.5;
